year,stock,capture,effort
1950,Lobatus gigas,100,153636
1950,Panulirus argus,1300,16532
1951,Lobatus gigas,100,153636
1951,Panulirus argus,1100,16532
1952,Lobatus gigas,100,153636
1952,Panulirus argus,1300,16532
1953,Lobatus gigas,200,153636
1953,Panulirus argus,1200,16532
1954,Lobatus gigas,200,153636
1954,Panulirus argus,1800,16532
1955,Lobatus gigas,200,153636
1955,Panulirus argus,2300,16532
1956,Lobatus gigas,200,153636
1956,Panulirus argus,4400,16532
1957,Lobatus gigas,100,153636
1957,Panulirus argus,6900,16532
1958,Lobatus gigas,200,153636
1958,Panulirus argus,5600,16532
1959,Lobatus gigas,300,153636
1959,Lutjanus synagris,1000,52710.2
1959,Ocyurus chrysurus,1000,52710.223
1959,Panulirus argus,8300,16532
1960,Lobatus gigas,300,153636
1960,Lutjanus synagris,1000,52710.2
1960,Ocyurus chrysurus,1000,52710.223
1960,Panulirus argus,8400,16532
1961,Lobatus gigas,150,153636
1961,Lutjanus synagris,1000,52710.2
1961,Ocyurus chrysurus,1000,52710.223
1961,Panulirus argus,8700,16532
1962,Lobatus gigas,200,153636
1962,Lutjanus synagris,1700,52710.2
1962,Ocyurus chrysurus,1100,52710.223
1962,Panulirus argus,8000,16532
1963,Lobatus gigas,200,153636
1963,Lutjanus synagris,1300,52710.2
1963,Ocyurus chrysurus,1100,52710.223
1963,Panulirus argus,7900,16532
1964,Lobatus gigas,200,153636
1964,Lutjanus synagris,1400,52710.2
1964,Ocyurus chrysurus,900,52710.223
1964,Panulirus argus,7400,16532
1965,Lobatus gigas,100,153636
1965,Lutjanus synagris,2100,52710.2
1965,Ocyurus chrysurus,1200,52710.223
1965,Panulirus argus,9900,16532
1966,Lobatus gigas,200,153636
1966,Lutjanus synagris,2400,52710.2
1966,Ocyurus chrysurus,1600,52710.223
1966,Panulirus argus,9800,16532
1967,Lobatus gigas,500,153636
1967,Lutjanus synagris,4000,52710.2
1967,Ocyurus chrysurus,3000,52710.223
1967,Panulirus argus,9000,16532
1968,Lobatus gigas,400,153636
1968,Lutjanus synagris,3600,52710.2
1968,Ocyurus chrysurus,1200,52710.223
1968,Panulirus argus,9500,16532
1969,Lobatus gigas,800,153636
1969,Lutjanus synagris,4300,52710.2
1969,Ocyurus chrysurus,800,52710.223
1969,Panulirus argus,11600,16532
1970,Lobatus gigas,800,153636
1970,Lutjanus synagris,3100,52710.2
1970,Ocyurus chrysurus,700,52710.223
1970,Panulirus argus,8400,16532
1971,Lobatus gigas,1000,153636
1971,Lutjanus synagris,4000,52710.2
1971,Ocyurus chrysurus,800,52710.223
1971,Panulirus argus,9500,16532
1972,Lobatus gigas,1200,153636
1972,Lutjanus synagris,3700,52710.2
1972,Ocyurus chrysurus,900,52710.223
1972,Panulirus argus,9600,16532
1973,Lobatus gigas,1100,153636
