variable,year,mean,sd,lower,upper
b_t,1950,20702.4750543922,7624.56257927153,11420.4947690748,33655.7393378924
b_t,1951,5661.19524445218,2700.54445999471,2524.61483449154,10584.6104699992
b_t,1952,4018.26964585165,2027.12557949446,1711.53505676644,7745.04793514984
b_t,1953,4681.02025850949,2385.95183971888,1992.64726282706,9131.46180089516
b_t,1954,4834.03523837822,2466.90712828504,2058.15602376469,9201.91500597684
b_t,1955,4758.01481270006,2474.56841738901,1950.8211333379,9386.82482448109
b_t,1956,4549.51291442054,2328.68788954246,1912.75509020527,8683.13136017438
b_t,1957,3805.33345226271,1900.99784282537,1620.42151221224,7186.77461299821
b_t,1958,4929.66742920472,2507.46277725887,2094.49783056194,9352.41161958705
b_t,1959,6244.74542182722,3253.28079618853,2592.54047263628,11751.0266720213
b_t,1960,6138.57676480151,3300.91734841205,2621.52900705223,11944.0145666607
b_t,1961,4840.56971655037,2513.65796976412,2023.55473951453,9330.27806791823
b_t,1962,4959.76215887837,2553.4550987931,2108.21474945931,9422.67111066693
b_t,1963,4851.21273762908,2563.41006696109,2045.43495916493,9276.56401681788
b_t,1964,4574.32129748861,2385.95140671591,1965.62244887574,8859.92756839455
b_t,1965,4030.19903700335,2035.63619076932,1732.61864299469,7633.53821152106
b_t,1966,5861.7644648401,2985.16478240895,2535.71220513665,11073.5563297301
b_t,1967,9748.44700002259,4804.42609770213,4209.04159546425,18356.2303601976
b_t,1968,12032.7348519921,6034.35949086733,5156.98894023898,23062.2980499538
b_t,1969,17480.1375156833,8756.84159701914,7350.81989969825,32858.1318488772
b_t,1970,20536.1678613268,10618.293922849,8829.46971328862,39554.104601116
b_t,1971,24050.3935380468,11704.3003927691,10474.9400722137,46434.2301830319
b_t,1972,27195.8875282832,14123.6316310453,11221.0234229009,53587.8399740553
b_t,1973,26196.4331091657,13088.8398048539,11076.6534654574,50407.8367754792
b_t,1974,23163.2629055224,11794.5099431711,9833.08888960461,43509.3019982251
b_t,1975,22336.4983367018,11549.4715830395,9455.70145346871,42777.1146744324
b_t,1976,23474.0557609985,11435.2855517693,10572.1802015291,43396.9269749511
b_t,1977,36211.3736523798,17036.6539410936,16631.468996882,66891.6466424571
b_t,1978,36074.3155932228,17886.2462649076,15815.7798547188,68651.4244137526
b_t,1979,33958.9682322709,17236.9214822461,15013.3011909663,64228.0014199618
b_t,1980,30502.379438787,15270.5823391618,13308.567862632,58143.8029176166
b_t,1981,29147.8254648856,14784.7760790768,12406.4917097464,56405.9449448751
b_t,1982,30483.3809154506,15160.3373516977,13623.5945895425,56340.2475766931
b_t,1983,33780.7898281134,16692.442789172,14874.4342790702,61148.8373429046
b_t,1984,35956.4163551828,17634.0761273343,15315.9470048055,68096.2070900826
b_t,1985,31823.3693347614,16194.5326044698,12961.8259068481,61763.0958248412
b_t,1986,25008.2414619868,13276.0251794692,10349.1820736831,48684.4170438293
b_t,1987,25437.9063130417,12978.0555522982,11003.3285131735,49065.6457588584
b_t,1988,25918.8683333302,13024.1088288412,10790.9983342958,49612.9182119323
b_t,1989,24409.2474186252,12056.3591359351,10482.0662607516,46769.114816193
b_t,1990,29730.9095976569,15138.1126048557,12123.5893270818,55644.4889904781
b_t,1991,33706.9904958044,16508.4150282082,14485.0646202289,62696.306118158
b_t,1992,34570.9450031772,17112.6166114548,15124.6686863868,65655.3707744217
b_t,1993,34289.3419589977,17076.1666175737,15130.5824445973,63942.0262901757
b_t,1994,31751.3097033694,16227.3311716123,13717.1801590521,60087.6241865718
b_t,1995,27185.3411759635,13873.966778872,11675.9207850489,51309.838014746
b_t,1996,26560.5520058782,12710.9669905266,11769.5380929401,49494.8713270309
b_t,1997,36051.7760109999,18750.0350510194,15020.6470942077,70159.7935753914
b_t,1998,31789.4538143753,17098.5845742079,13246.2376824509,60269.2801569631
b_t,1999,23133.5533594091,11767.9104993711,9978.25658273626,44277.4179636037
b_t,2000,29390.9678536665,14656.878262529,12546.3764699498,55852.0171845637
b_t,2001,32496.9174269606,15852.2858968276,14226.6105220458,59718.8093486885
b_t,2002,27264.9830782659,13415.4939873408,12220.6803811208,51904.7024217755
b_t,2003,30007.7396528157,15696.3498598078,12984.2932945285,57807.9827523961
b_t,2004,34746.5865917595,17640.961462809,14770.018016494,66167.9474941338
b_t,2005,33178.1700967592,16808.581699518,14593.329667187,63274.8270032493
b_t,2006,33259.0123391952,16807.0011946815,14242.5962465031,64908.0800495819
b_t,2007,30978.3178564377,15385.4903836158,12588.7071877463,60358.8926134235
b_t,2008,30252.8886232199,14999.0516834097,13369.0535996466,55878.6959725122
b_t,2009,30536.2874155914,15186.1255475187,13606.2543430404,57021.7497644653
b_t,2010,31634.5434720493,15224.6449828315,13759.7428951178,58557.0251792885
b_t,2011,34509.2493647655,16211.4619214045,15022.286960646,64373.6209078813
b_t,2012,37067.9802987692,17687.7470321972,16569.626732522,68710.4208421583
b_t,2013,34579.7619877655,17250.0724874939,14566.6588535494,67565.2546932592
b_t,2014,29498.2609242112,14754.2088140412,12896.7883222682,57019.6126614588
b_t,2015,31243.4949612574,16274.4435581322,13657.0227761039,58964.6889764691
b_t,2016,33046.9061192242,15864.7286999825,14707.4992395148,61342.6858683593
b_t,2017,35388.3117193133,17920.4346229714,15509.1806614484,65272.4943627465
b_t,2018,37178.7024901033,19110.4073527615,15968.1602850298,72126.4344002233
b_t,2019,20147.7050867718,8809.30933211455,9733.39776001454,36113.8443365205
bmsy,1950,16489.213877286,5825.49983369086,9462.28493804662,26743.5787340697
ck,1950,0.00337825289442656,0.0010876517642266,0.00186960854721295,0.005284137216669
ck,1951,0.00337825289442656,0.0010876517642266,0.00186960854721295,0.005284137216669
ck,1952,0.00337825289442656,0.0010876517642266,0.00186960854721295,0.005284137216669
ck,1953,0.00675650578885312,0.00217530352845319,0.00373921709442589,0.010568274433338
ck,1954,0.00675650578885312,0.00217530352845319,0.00373921709442589,0.010568274433338
ck,1955,0.00675650578885312,0.00217530352845319,0.00373921709442589,0.010568274433338
ck,1956,0.00675650578885312,0.00217530352845319,0.00373921709442589,0.010568274433338
ck,1957,0.00337825289442656,0.0010876517642266,0.00186960854721295,0.005284137216669
ck,1958,0.00675650578885312,0.00217530352845319,0.00373921709442589,0.010568274433338
ck,1959,0.0101347586832797,0.00326295529267979,0.00560882564163884,0.015852411650007
ck,1960,0.0101347586832797,0.00326295529267979,0.00560882564163884,0.015852411650007
ck,1961,0.00506737934163984,0.0016314776463399,0.00280441282081942,0.00792620582500351
ck,1962,0.00675650578885312,0.00217530352845319,0.00373921709442589,0.010568274433338
ck,1963,0.00675650578885312,0.00217530352845319,0.00373921709442589,0.010568274433338
ck,1964,0.00675650578885312,0.00217530352845319,0.00373921709442589,0.010568274433338
ck,1965,0.00337825289442656,0.0010876517642266,0.00186960854721295,0.005284137216669
ck,1966,0.00675650578885312,0.00217530352845319,0.00373921709442589,0.010568274433338
ck,1967,0.0168912644721328,0.00543825882113299,0.00934804273606473,0.026420686083345
ck,1968,0.0135130115777062,0.00435060705690639,0.00747843418885178,0.021136548866676
ck,1969,0.0270260231554125,0.00870121411381278,0.0149568683777036,0.042273097733352
ck,1970,0.0270260231554125,0.00870121411381278,0.0149568683777036,0.042273097733352
ck,1971,0.0337825289442656,0.010876517642266,0.0186960854721295,0.05284137216669
ck,1972,0.0405390347331187,0.0130518211707192,0.0224353025665554,0.063409646600028
