variable,year,mean,sd,lower,upper
b_t,1959,27903.5829185169,19654.0105046842,14955.945973602,51912.6358857627
b_t,1960,21535.0157397069,16597.150112416,9877.49335129076,43915.4960002868
b_t,1961,21295.5730599838,16739.6340072824,9439.54820621422,43877.9841488944
b_t,1962,25522.2633749236,19707.9836552874,11531.8458073732,51872.1135461239
b_t,1963,25117.5303060271,19264.4130610908,10982.2180923497,51472.7468247287
b_t,1964,27891.9128331977,23149.5004501098,12454.8413020403,56190.2311561621
b_t,1965,35359.7264362846,27064.1367652028,16395.7421220368,70449.4300012781
b_t,1966,43134.834219926,34858.9612503279,19292.318364523,88006.5808937005
b_t,1967,56350.073396518,42553.0775451029,26649.2352747395,113473.143237378
b_t,1968,57001.3789488332,44833.7094336626,26198.7662101339,116801.771361382
b_t,1969,60281.2683776471,42788.7605601305,30418.7172619191,121411.756111356
b_t,1970,53380.8205761888,41092.6942372524,25183.2255750098,108864.758748004
b_t,1971,58843.8380700084,45684.2485634875,26110.9860487854,119287.758693246
b_t,1972,58158.069105167,44759.8770449388,28053.1614916994,121126.323214316
b_t,1973,60037.1502044298,45509.9260429929,29308.6350850466,126468.357227013
b_t,1974,59706.0113241386,48755.3362504522,26535.8830427298,121363.14104862
b_t,1975,55673.2849579441,43272.4135106893,25228.4457112836,115158.659919893
b_t,1976,43492.108879495,34164.4865131281,20170.9364798623,88062.1904369128
b_t,1977,22665.5981880983,17198.5428445243,10497.1976589359,46277.996493561
b_t,1978,14548.2839272574,11065.5847141727,6480.09272250752,29836.4972779023
b_t,1979,12238.8389903617,8968.46992604292,5548.81073883107,25419.88904067
b_t,1980,10427.152831384,7739.01463682908,5014.906275664,20896.8956595443
b_t,1981,10411.1852661005,7574.62007262758,5343.252721381,20708.0042282605
b_t,1982,11707.1523139689,8559.10577985528,5784.5183363186,22235.620524265
b_t,1983,12101.7663569393,9781.23115223112,6258.57551580312,24158.0763788528
b_t,1984,12111.2110353938,9495.1235578775,6035.97599315981,23927.2732531196
b_t,1985,11061.5953482711,8530.87844277575,5446.14472080962,21499.7830068249
b_t,1986,11015.1277674522,8018.86841957596,5329.2537495028,21196.1234024631
b_t,1987,10858.7124522625,8380.37460850372,5497.24620499519,20680.2774912738
b_t,1988,11316.6493663069,8464.42200885273,5688.87165664639,22522.2708815108
b_t,1989,11644.7544979248,8252.54751499746,5806.63426256767,23272.0617996352
b_t,1990,11094.7182827544,8027.87607251616,5342.37718504941,22232.4833713896
b_t,1991,11156.0419044316,8467.5141545205,5057.8689182996,22093.1337642775
b_t,1992,11054.8215434266,8358.80785866402,5213.7624834588,22059.8815033747
b_t,1993,12491.2216643545,9643.07033994167,5954.83863220479,25308.3059154506
b_t,1994,14274.9315159279,11058.6409321029,6785.17151823125,28676.2786065776
b_t,1995,15483.4483068053,11554.3207672446,7428.44711585316,30747.8874227982
b_t,1996,17179.3461838566,12787.8171451996,7774.14993008965,35340.9633536991
b_t,1997,21835.9699735661,16503.0517756951,9824.16878861902,43428.6023929369
b_t,1998,24187.5337462406,19008.4615062715,11375.9609959038,49146.9318808552
b_t,1999,22816.9941930542,17769.4023136367,10378.8409835886,45801.0803145669
b_t,2000,25150.4090848232,19584.9511306015,11811.4659894846,50357.7480167206
b_t,2001,23307.5225903105,19481.0076565779,10164.3343748452,47804.2609888279
b_t,2002,20977.9793719005,16544.7667035116,9456.79899718755,42216.8218754819
b_t,2003,15412.6019222479,11669.3262668695,7233.37443762972,31821.4138953205
b_t,2004,13185.619698628,10170.8018900483,6122.80472180389,27150.4048317025
b_t,2005,12729.7065492496,9743.40266860099,6014.87087689824,25861.4946715751
b_t,2006,16081.1187960872,11948.7319753823,7682.59763433483,32962.7677068041
b_t,2007,19723.5083378771,16325.5061689357,9567.19737032939,39207.983338047
b_t,2008,22464.7451195692,17863.0335108052,10320.6128023544,46209.3031012954
b_t,2009,22137.7869814105,17627.909803163,10605.2848630048,46696.0945105276
b_t,2010,22413.478661932,17292.2079858266,10413.6580191971,47150.1917932508
b_t,2011,21404.8215614211,17446.9861723497,9515.29278471118,43714.228872722
b_t,2012,24108.3971984139,19665.3900111971,10931.3825684045,48927.8230446465
b_t,2013,21564.2652720884,17305.0390162462,8828.81843456042,43480.6594154568
b_t,2014,20497.9622563528,15887.8418125453,9242.51118991743,40796.7304741257
b_t,2015,21695.3956717305,17506.2012754585,9961.47816214818,44631.2107485038
b_t,2016,20002.9137833662,15426.2695822451,8906.97287139878,42141.931426585
b_t,2017,17343.9832829574,13276.6941283719,8017.35513526738,35677.6481314657
b_t,2018,15981.2026824114,11685.4494097122,7527.09171337718,32152.8251761921
b_t,2019,16896.5671886905,13365.2496609155,8384.56700133619,33526.0700425997
bmsy,1959,21273.2932159662,13791.0320341131,12131.463030198,39041.6039588389
ck,1959,0.0276870967839761,0.00887316048871341,0.0128068509147122,0.0412151444611138
ck,1960,0.0276870967839761,0.00887316048871341,0.0128068509147122,0.0412151444611138
ck,1961,0.0276870967839761,0.00887316048871341,0.0128068509147122,0.0412151444611138
ck,1962,0.0470680645327594,0.0150843728308128,0.0217716465550108,0.0700657455838934
ck,1963,0.035993225819169,0.0115351086353274,0.0166489061891259,0.0535796877994479
ck,1964,0.0387619354975666,0.0124224246841988,0.0179295912805971,0.0577012022455593
ck,1965,0.0581429032463499,0.0186336370262982,0.0268943869208957,0.0865518033683389
ck,1966,0.0664490322815427,0.0212955851729122,0.0307364421953093,0.098916346706673
ck,1967,0.110748387135905,0.0354926419548536,0.0512274036588489,0.164860577844455
ck,1968,0.0996735484223141,0.0319433777593683,0.046104663292964,0.14837452006001
ck,1969,0.119054516171097,0.0381545901014677,0.0550694589332626,0.177225121182789
ck,1970,0.085830000030326,0.0275067975150116,0.0397012378356079,0.127766947829453
ck,1971,0.110748387135905,0.0354926419548536,0.0512274036588489,0.164860577844455
ck,1972,0.102442258100712,0.0328306938082396,0.0473853483844352,0.152496034506121
ck,1973,0.110748387135905,0.0354926419548536,0.0512274036588489,0.164860577844455
ck,1974,0.113517096814302,0.036379958003725,0.0525080887503201,0.168982092290566
ck,1975,0.107979677457507,0.0346053259059823,0.0499467185673777,0.160739063398344
ck,1976,0.0941361290655189,0.0301687456616256,0.0435432931100216,0.140131491167787
ck,1977,0.0830612903519284,0.0266194814661402,0.0384205527441367,0.123645433383341
ck,1978,0.0498367742111571,0.0159716888796841,0.023052331646482,0.0741872600300048
ck,1979,0.0498367742111571,0.0159716888796841,0.023052331646482,0.0741872600300048
ck,1980,0.0369899613033921,0.0118545424129211,0.0171099528220555,0.055063433000048
ck,1981,0.0378205742069114,0.0121207372275825,0.0174941583494969,0.0562998873338814
ck,1982,0.047594119371655,0.0152529628800984,0.0220149767223903,0.0708488333286545
ck,1983,0.0518302451796033,0.0166105564348715,0.0239744249123413,0.077154750431205
ck,1984,0.0583920871174057,0.0187134954706966,0.0270096485791281,0.0869227396684889
ck,1985,0.0494214677593974,0.0158385914723534,0.0228602288827613,0.0735690328630881
ck,1986,0.0509165709857321,0.016317742138744,0.0235517988321558,0.0757946506639882
ck,1987,0.0497814000175891,0.0159539425587067,0.0230267179446526,0.0741048297410826
ck,1988,0.0555680032454401,0.0178084331008478,0.0257033497858274,0.0827187949334553
ck,1989,0.0561771193746876,0.0180036426315995,0.0259851005059511,0.0836255281115998
ck,1990,0.0484801064687422,0.0155369040157372,0.0224247959516611,0.0721677179514102
ck,1991,0.0442162935640099,0.0141704373004753,0.0204525409107954,0.0658205857043987
ck,1992,0.0400078548528455,0.0128217169061909,0.0185058995717592,0.0595558837463094
ck,1993,0.0332522032375553,0.0106566657469448,0.0153810279485694,0.0494993884977976
ck,1994,0.0494491548561814,0.0158474646328422,0.022873035733676,0.0736102480075492
ck,1995,0.0537960290512656,0.0172405508295702,0.0248837113272859,0.080081025687944
ck,1996,0.0511657548567879,0.0163976005831424,0.0236670604903882,0.0761655869641382
ck,1997,0.068442503249989,0.0219344527280996,0.0316585354611686,0.101883837107873
ck,1998,0.0722356355093938,0.0231500757150533,0.0334130740364842,0.107530311899046
ck,1999,0.0474003096941672,0.0151908507566774,0.0219253287659873,0.0705603273174268
ck,2000,0.0585305226013256,0.0187578612731402,0.0270736828337017,0.0871288153907945
ck,2001,0.0523563000184989,0.0167791464841571,0.0242177550797208,0.0779378381759661
ck,2002,0.051055006469652,0.0163621079411875,0.0236158330867293,0.0760007263862938
ck,2003,0.0297636290427744,0.00953864752536692,0.0137673647333156,0.0443062802956973
ck,2004,0.0241154612988432,0.00772852278566938,0.0111547671467144,0.0358983908256301
ck,2005,0.0192148451680794,0.00615797337916711,0.00888795453481029,0.028603310256013
ck,2006,0.0312587322691091,0.0100177981917574,0.0144589346827101,0.0465318980965974
ck,2007,0.034830367754242,0.0111624358948015,0.016111018450708,0.0518486517320811
ck,2008,0.0456006484032087,0.014614095324911,0.021092883456531,0.0678813429274544
ck,2009,0.0351072387220817,0.0112511674996886,0.0162390869598551,0.0522608031766923
ck,2010,0.0424720064666194,0.0136114281896864,0.0196457093031686,0.0632240316033485
ck,2011,0.0354394838834895,0.0113576454255532,0.0163927691708316,0.0527553849102256
ck,2012,0.0469296290488396,0.0150400070283692,0.0217076123004372,0.0698596698615878
ck,2013,0.0333629516246913,0.0106921583888997,0.0154322553522282,0.0496642490756421
ck,2014,0.0293483225910147,0.00940555011803621,0.013575261969595,0.0436880531287806
ck,2015,0.0379036354972633,0.0121473567090487,0.017532578902241,0.0564235327672647
ck,2016,0.0335567613021791,0.0107542705123207,0.0155219033086312,0.0499527550868699
ck,2017,0.025582877428394,0.00819880029157119,0.0118335302451941,0.0380827934820691
