variable,year,mean,sd,lower,upper
b_t,1959,11883.9254798639,3241.37325150466,7959.59509113807,17372.1171804819
b_t,1960,12524.3112619194,3982.64917356454,8415.46467464801,18943.6051991359
b_t,1961,13007.993292217,4056.5608095202,8534.33745890565,19963.2248316691
b_t,1962,13889.8098114029,4210.67473315193,9465.40163503718,20966.2850109696
b_t,1963,13465.3521191953,4608.63968663253,7965.38814134884,20883.8892691846
b_t,1964,13505.7303258741,4343.4602874934,8895.11676866404,20219.5752787047
b_t,1965,15787.3327997273,5141.61542702594,9826.98832544096,24704.9945655696
b_t,1966,19294.3061647275,6461.76605584942,11694.6757128031,30285.3542732288
b_t,1967,24217.2551183619,7992.86124896937,15542.0380583926,37151.1559499806
b_t,1968,15257.9194719952,5013.83307579292,10135.9694241555,23488.4946293906
b_t,1969,11541.4188188099,3782.97016166628,7522.93416439706,17982.2158041275
b_t,1970,10225.3430725252,3365.6023457333,6333.29872445924,15974.5700230563
b_t,1971,10766.337516182,3546.04644569477,7064.23533719736,16583.4023236423
b_t,1972,11725.8544396061,3779.62569821948,7828.92463072701,18253.4693730505
b_t,1973,12215.9413997105,3701.14610974258,8363.29487720769,18558.6593464954
b_t,1974,10424.0204325564,3363.22025381117,6801.20516429223,16186.1213788574
b_t,1975,10918.820391654,3435.68719994658,7429.39179058394,16834.2255105111
b_t,1976,11833.5087235069,3766.29332271574,7892.51694980543,17990.5026221601
b_t,1977,10058.0349606498,3155.76260690136,6490.14168349211,15384.3566379263
b_t,1978,8373.04690781121,2607.02256587654,5602.01951508702,13111.5624046257
b_t,1979,7626.57482068508,2386.73860990186,5182.81460823679,11646.9215922738
b_t,1980,6677.97570270169,2147.79421701683,4460.40367756078,10345.6451860736
b_t,1981,5103.77996027171,1534.79678830086,3434.55670601541,7619.86709163342
b_t,1982,5086.8832434205,1513.42142390832,3460.38190807121,7715.69125301106
b_t,1983,4660.66801028796,1381.31162616387,3156.33218274856,6969.14838982374
b_t,1984,4452.13879746925,1274.18939058326,3182.12570968728,6581.23651991888
b_t,1985,4321.92698595479,1229.2828361589,3058.69771509597,6424.63095342827
b_t,1986,4273.6488207442,1240.60178482811,2963.73672194313,6420.15418552147
b_t,1987,4307.45743986894,1272.18850124933,3005.81224417392,6391.5182113107
b_t,1988,3993.94294172866,1112.47710489706,2859.41807374622,5913.85057293755
b_t,1989,4040.04470919605,1163.00627858694,2885.95046203351,6112.17395962648
b_t,1990,3754.50275825497,1078.69280460236,2691.96999566783,5507.89876667024
b_t,1991,3832.81107481879,1132.79046294782,2638.31358381388,5614.83613522056
b_t,1992,3891.87523886962,1185.79391630812,2630.4176023237,5910.1220328337
b_t,1993,3919.58061241966,1246.48741700216,2454.58799195118,6027.34207233754
b_t,1994,3922.07417355085,1254.57747279561,2616.69371297129,5942.1454946956
b_t,1995,4201.11748372421,1286.94379365541,2889.62649643456,6446.64435445728
b_t,1996,5455.25563735003,1601.45704305891,3821.37534545759,8283.40168037337
b_t,1997,4726.10898444731,1447.30556341411,3172.18042043507,7232.09594258669
b_t,1998,3961.1911231957,1282.80023831027,2559.38273450276,6111.65312981052
b_t,1999,3811.21303537124,1206.70222019618,2492.12969929401,5805.66087232348
b_t,2000,3977.58360792457,1268.8511205555,2707.55452490513,6138.48291310065
b_t,2001,3902.64844313875,1261.85274346817,2559.7302763218,5990.65425326236
b_t,2002,3869.76234696404,1208.54811695434,2582.44573007854,5866.93142505746
b_t,2003,4026.30030481701,1333.36690821627,2624.1291181993,6186.0593899122
b_t,2004,3921.18242129283,1257.6461080299,2480.63419641157,6037.2975155186
b_t,2005,3433.35553228771,1106.94486071795,2249.33616690479,5301.9829145298
b_t,2006,3460.09120320187,1046.2238853109,2377.04709014684,5326.52168928876
b_t,2007,3604.76957427593,1189.10539206801,2349.7271329255,5626.66516437783
