variable,year,mean,sd,lower,upper
b_t,1950,248219.101001719,182865.721362639,86920.6131821868,568987.829493925
b_t,1951,124500.905402934,94153.0038178762,40217.0865739588,288335.851446891
b_t,1952,107526.298547149,85038.8763938277,32859.1276333696,259684.95243331
b_t,1953,107822.247228718,84495.2276278971,33400.0742333132,253475.121939168
b_t,1954,137507.219240094,107936.079212352,43171.1925321991,332263.152063511
b_t,1955,187779.295053212,151806.417185199,57313.7070406421,439997.603113391
b_t,1956,288849.759767938,222065.65717517,90820.2986849665,690530.410206336
b_t,1957,403099.386884352,313670.214807555,122900.578603333,983354.39931084
b_t,1958,422769.886132331,327217.325750758,131108.451824157,991470.418181575
b_t,1959,516302.732212449,395281.405612618,154403.648732457,1234165.71126865
b_t,1960,542316.95653322,442752.814877376,171350.369685536,1247325.15607404
b_t,1961,551167.282577358,428122.307519888,172780.701622182,1285817.90384613
b_t,1962,534062.566492753,419387.675761986,162374.454517037,1263790.65791496
b_t,1963,527562.523882424,419994.145046642,159374.986884717,1241372.82587248
b_t,1964,526855.281183559,424946.104313977,159120.38761404,1252014.44261475
b_t,1965,594070.689865062,476549.302437688,183046.845164107,1358391.50471873
b_t,1966,599193.923998561,476030.099221683,180438.782991621,1402909.36148939
b_t,1967,577801.576364426,460414.795181203,178684.329123028,1389154.73582027
b_t,1968,599581.301556379,477340.781695713,187469.059419483,1447508.18103031
b_t,1969,646084.42590116,509058.523562265,194134.92009424,1522827.55090397
b_t,1970,568150.184773879,470800.175074268,174567.902112458,1327169.7270222
b_t,1971,567718.595317067,439597.676262101,179072.058830334,1320072.62108692
b_t,1972,510855.409475656,401084.185897979,159020.128072837,1211700.60705497
b_t,1973,279431.840901339,218571.044196262,88210.9889600826,662428.041772747
b_t,1974,243166.578550012,187783.9251194,76149.5583021101,577604.203973312
b_t,1975,235706.721070365,181320.459825682,74864.0196178639,555429.224458873
b_t,1976,245888.528193496,195820.982366697,78223.2081639206,577807.18200567
b_t,1977,235714.664560103,189207.094750439,74059.3709289515,553953.628320927
b_t,1978,268922.911323961,208199.327685479,85117.0425284537,639931.183722226
b_t,1979,294921.621247078,233540.497439801,91470.0279942174,702613.8476101
b_t,1980,298481.217785988,233739.480504625,92579.2965763945,691014.521538539
b_t,1981,313105.520519083,246228.308872515,100438.645122672,748167.418920288
b_t,1982,325919.147271598,256329.473912858,103502.555537719,777657.017393179
b_t,1983,322351.980876636,254752.31269871,99605.2090721811,762459.365640852
b_t,1984,345327.465528313,273454.977113232,108619.793798076,845661.722313755
b_t,1985,369831.868180555,281914.064154546,118544.570096437,893273.615452618
b_t,1986,372579.654185797,293074.333669235,118870.436904628,889069.418301134
b_t,1987,377711.468654529,299301.534414181,118535.517413724,909421.785990236
b_t,1988,376461.063171785,294230.024862139,117509.582240012,879847.298182018
b_t,1989,397625.162188452,320492.852563486,120930.144221083,959491.149792939
b_t,1990,400562.707515687,315970.91454892,125660.415478994,938664.2595185
b_t,1991,426035.396770718,341941.375664105,130942.641703033,1009243.76029121
b_t,1992,425026.667511425,332784.109334572,135759.232602711,1007733.22396718
b_t,1993,421560.650566933,327124.258265509,129922.45187556,996671.198527679
b_t,1994,410966.761653569,318738.037842059,127871.623682214,949821.544305976
b_t,1995,376966.78549997,300555.700317949,117198.958797704,900676.922618626
b_t,1996,350441.518102553,282658.226581927,109639.047169313,816524.501785028
b_t,1997,337802.105964849,269836.172879421,104927.211030444,786474.443810142
b_t,1998,328090.739594443,256055.822875706,105122.524610773,791314.087253745
b_t,1999,331302.396896514,262732.534008876,100615.220993542,801300.690062999
b_t,2000,329959.406980752,263259.027861225,101517.693988705,781144.639548213
b_t,2001,353997.273886294,283069.462676001,110619.667516944,849676.315881289
b_t,2002,385894.102897346,305005.884052623,119323.612638349,950414.759801438
b_t,2003,365490.374468487,296539.794168838,112251.815187095,898132.988398012
b_t,2004,402441.561643606,311854.411275518,125672.561143123,974777.612546451
b_t,2005,407385.334341727,320680.614917731,122955.24044695,961443.094427623
b_t,2006,381081.326855041,301532.479551561,114894.764079702,896747.605547821
b_t,2007,423112.359056358,341867.170778637,126625.209226837,1029266.85636652
b_t,2008,489114.969605055,382486.298512808,148714.492211691,1165284.5206177
b_t,2009,447493.981313153,352529.382906688,137101.262134099,1033624.80522279
b_t,2010,460144.499282106,359957.345070231,144367.516204522,1052530.93953293
b_t,2011,517793.913326807,404684.065501751,156969.476710708,1213129.75988477
b_t,2012,527177.135401509,402176.784548511,158116.864667255,1242050.90488657
b_t,2013,540417.336138722,423813.906126324,171702.576923511,1309289.11607938
b_t,2014,543052.415386488,443566.49709151,166102.978933561,1289262.84263525
b_t,2015,522979.106588674,418522.827676613,157912.894936369,1247063.49302223
b_t,2016,526335.782706366,409346.967879976,164416.002245557,1288831.38908895
b_t,2017,508986.871351213,405408.072027243,156295.043035634,1199731.13260997
b_t,2018,489038.365145444,391818.776043292,145938.525955281,1174989.19347058
b_t,2019,346484.264608672,272050.036301193,111309.677045013,808771.683663864
bmsy,1950,226198.474312238,162912.505401888,80797.053702891,507765.232025383
ck,1950,0.00398742518674118,0.00213698842624041,0.00128011924881955,0.00804484792219295
ck,1951,0.00337397515801176,0.00180822097604958,0.00108317782592423,0.00680717901108634
ck,1952,0.00398742518674118,0.00213698842624041,0.00128011924881955,0.00804484792219295
ck,1953,0.00368070017237647,0.00197260470114499,0.00118164853737189,0.00742601346663965
